Order_ID,Shipping_Date,Delivery_Date,Delivery_Status
1,06-03-2024,11-03-2024,Late
2,26-09-2023,28-09-2023,On Time
3,03-12-2023,06-12-2023,On Time
4,22-08-2024,27-08-2024,Late
5,24-09-2023,25-09-2023,On Time
6,26-05-2023,28-05-2023,On Time
7,04-03-2024,07-03-2024,On Time
8,14-01-2023,17-01-2023,On Time
9,20-09-2024,21-09-2024,On Time
10,31-05-2023,01-06-2023,On Time
11,12-03-2024,15-03-2024,On Time
12,03-08-2024,06-08-2024,On Time
13,21-08-2023,22-08-2023,On Time
14,08-10-2023,12-10-2023,On Time
15,11-01-2024,13-01-2024,On Time
16,24-05-2023,27-05-2023,On Time
17,24-02-2024,26-02-2024,On Time
18,27-06-2024,02-07-2024,Late
19,17-07-2024,21-07-2024,On Time
20,02-10-2023,06-10-2023,On Time
21,27-06-2024,28-06-2024,On Time
22,04-07-2024,07-07-2024,On Time
23,03-11-2023,08-11-2023,Late
24,05-09-2023,06-09-2023,On Time
25,17-01-2024,20-01-2024,On Time
26,14-09-2023,19-09-2023,Late
27,05-10-2024,10-10-2024,Late
28,01-10-2023,04-10-2023,On Time
29,11-09-2024,15-09-2024,On Time
30,15-02-2024,18-02-2024,On Time
31,02-01-2024,05-01-2024,On Time
32,05-05-2024,06-05-2024,On Time
33,23-11-2024,28-11-2024,Late
34,05-07-2024,08-07-2024,On Time
35,23-04-2024,27-04-2024,On Time
36,16-12-2023,19-12-2023,On Time
37,21-07-2023,24-07-2023,On Time
38,21-04-2023,22-04-2023,On Time
39,26-11-2023,29-11-2023,On Time
40,25-02-2024,28-02-2024,On Time
41,20-06-2023,24-06-2023,On Time
42,26-09-2024,29-09-2024,On Time
43,11-12-2024,13-12-2024,On Time
44,02-12-2023,03-12-2023,On Time
45,18-07-2023,21-07-2023,On Time
46,24-05-2023,28-05-2023,On Time
47,09-11-2024,10-11-2024,On Time
48,05-05-2024,09-05-2024,On Time
49,07-12-2023,08-12-2023,On Time
50,23-06-2023,27-06-2023,On Time
51,22-06-2023,24-06-2023,On Time
52,15-03-2024,18-03-2024,On Time
53,08-11-2024,09-11-2024,On Time
54,25-08-2023,26-08-2023,On Time
55,04-02-2024,06-02-2024,On Time
56,26-11-2023,27-11-2023,On Time
57,20-09-2023,22-09-2023,On Time
58,09-01-2024,14-01-2024,Late
