Order_ID,Product_ID,Quantity,Discount_Percent,Revenue
1,99,2,10,50337
1,6,1,10,27093.6
1,42,3,0,118629
2,16,1,10,15381
3,78,3,5,101668.05
3,69,1,15,665.55
3,1,3,5,9362.25
4,88,2,5,69380.4
5,66,3,15,72703.05
5,35,2,5,58328.1
6,72,1,5,40088.1
6,10,3,0,1998
7,95,2,0,20152
7,41,2,10,67930.2
7,91,1,0,5604
8,96,1,5,18678.9
8,27,3,5,90849.45
8,98,2,15,7529.3
9,55,1,5,19335.35
9,2,2,15,15968.1
9,12,3,10,5200.2
10,11,3,5,73501.5
10,98,1,0,4429
11,7,1,0,13098
11,68,1,0,39115
12,26,2,0,39554
12,50,2,10,2377.8
13,13,3,10,81402.3
14,66,1,0,28511
14,62,2,15,45677.3
15,27,2,5,60566.3
15,77,1,5,6668.05
16,75,2,15,41808.1
17,88,1,0,36516
17,63,1,15,23811.9
18,57,1,0,38163
19,54,2,5,58521.9
20,108,2,0,3636
20,62,1,15,22838.65
21,84,2,0,27322
22,44,3,0,133326
22,74,3,15,61075.05
22,41,2,0,75478
23,25,2,5,23719.6
23,6,2,15,51176.8
23,57,2,0,76326
24,45,1,15,23054.55
24,74,1,10,21555.9
25,67,1,0,6453
26,44,2,0,88884
26,52,2,10,56827.8
27,103,1,5,39595.05
27,91,3,15,14290.2
28,2,3,0,28179
28,70,1,10,15638.4
29,63,1,0,28014
30,18,1,10,44443.8
31,26,1,15,16810.45
31,60,1,0,41004
32,82,1,10,3884.4
32,60,3,10,110710.8
32,8,3,0,40731
33,39,2,15,57055.4
33,70,3,5,49521.6
33,21,2,5,87306.9
34,16,3,5,48706.5
34,77,2,10,12634.2
35,35,3,10,82887.3
35,101,2,0,5268
35,22,1,15,20673.7
36,64,1,10,38555.1
36,79,2,5,81118.6
37,38,2,5,77278.7
37,43,2,5,82570.2
37,16,2,0,34180
38,42,1,15,33611.55
38,5,2,10,7606.8
39,83,3,5,102007.2
39,21,2,10,82711.8
40,59,3,10,75883.5
41,44,2,5,84439.8
41,7,3,5,37329.3
41,28,3,10,75872.7
42,94,3,15,121453.95
43,68,2,15,66495.5
43,61,3,5,129697.8
43,33,2,15,48104.9
44,80,1,15,24704.4
45,54,1,10,27720.9
46,6,3,0,90312
46,38,1,15,34572.05
46,66,1,15,24234.35
47,89,1,10,29736
48,78,2,5,67778.7
48,9,1,0,36737
49,72,3,15,107604.9
50,92,2,15,68515.1
50,63,3,0,84042
50,7,2,15,22266.6
51,25,2,10,22471.2
51,8,3,15,34621.35
51,85,1,0,4992
52,20,3,10,92658.6
52,23,3,5,29295.15
53,50,1,5,1254.95
53,95,1,10,9068.4
53,32,3,5,138082.5
54,107,1,5,35565.15
55,94,2,0,95258
55,11,1,10,23211
55,76,2,10,17073
56,67,1,10,5807.7
56,4,3,15,126365.25
57,32,2,0,96900
57,77,2,0,14038
