Order_ID,Customer_ID,Order_Date,Order_Status,Payment_Mode
1,759,04-03-2024,Delivered,Card
2,640,25-09-2023,Delivered,Card
3,191,01-12-2023,Delivered,COD
4,579,21-08-2024,Delivered,UPI
5,516,23-09-2023,Delivered,UPI
6,442,24-05-2023,Delivered,UPI
7,143,03-03-2024,Delivered,Card
8,191,12-01-2023,Delivered,UPI
9,533,19-09-2024,Cancelled,COD
10,227,29-05-2023,Cancelled,COD
11,313,10-03-2024,Delivered,UPI
12,629,02-08-2024,Delivered,Card
13,302,20-08-2023,Delivered,COD
14,654,07-10-2023,Cancelled,COD
15,460,10-01-2024,Delivered,Card
16,401,22-05-2023,Delivered,COD
17,551,23-02-2024,Delivered,Card
18,393,25-06-2024,Delivered,COD
19,764,16-07-2024,Delivered,Card
20,207,30-09-2023,Delivered,COD
21,210,25-06-2024,Delivered,UPI
22,115,02-07-2024,Delivered,COD
23,737,02-11-2023,Delivered,COD
24,646,03-09-2023,Delivered,UPI
25,251,16-01-2024,Delivered,UPI
26,219,13-09-2023,Delivered,UPI
27,407,03-10-2024,Delivered,UPI
28,443,30-09-2023,Delivered,Card
29,603,09-09-2024,Delivered,Card
30,354,14-02-2024,Cancelled,COD
31,558,01-01-2024,Delivered,COD
32,550,03-05-2024,Delivered,COD
33,142,21-11-2024,Delivered,Card
34,612,04-07-2024,Cancelled,COD
35,501,21-04-2024,Delivered,COD
36,702,14-12-2023,Delivered,Card
37,547,19-07-2023,Delivered,COD
38,659,20-04-2023,Delivered,Card
39,542,24-11-2023,Delivered,Card
40,507,23-02-2024,Delivered,UPI
41,596,19-06-2023,Delivered,UPI
42,281,24-09-2024,Delivered,Card
43,424,10-12-2024,Delivered,Card
44,270,01-12-2023,Delivered,UPI
45,154,16-07-2023,Delivered,COD
46,614,23-05-2023,Delivered,COD
47,727,08-11-2024,Delivered,COD
48,662,03-05-2024,Delivered,Card
49,83,05-12-2023,Delivered,UPI
50,622,21-06-2023,Delivered,COD
51,426,20-06-2023,Cancelled,UPI
52,275,14-03-2024,Delivered,UPI
53,713,06-11-2024,Delivered,Card
54,284,24-08-2023,Delivered,COD
55,173,03-02-2024,Delivered,UPI
56,327,25-11-2023,Delivered,Card
57,718,19-09-2023,Delivered,Card
58,63,07-01-2024,Delivered,Card
59,73,22-11-2024,Delivered,COD
60,763,12-06-2023,Delivered,COD
61,636,12-02-2024,Delivered,Card
62,375,03-05-2023,Delivered,COD
63,633,07-10-2024,Delivered,COD
64,508,08-11-2023,Delivered,UPI
65,787,08-11-2024,Delivered,Card
66,398,15-01-2024,Cancelled,Card
67,120,21-02-2024,Cancelled,COD
68,437,25-05-2024,Delivered,Card
69,676,20-03-2023,Delivered,Card
70,465,14-08-2023,Delivered,Card
71,286,23-03-2023,Delivered,COD
72,265,05-08-2024,Delivered,COD
73,320,18-04-2024,Delivered,COD
74,673,26-10-2023,Delivered,UPI
75,376,12-11-2024,Delivered,Card
76,89,25-05-2024,Delivered,UPI
77,654,13-05-2024,Delivered,COD
78,203,12-05-2023,Delivered,UPI
79,739,24-12-2023,Delivered,Card
80,334,03-03-2024,Delivered,Card
81,222,24-09-2023,Delivered,COD
82,41,19-03-2024,Delivered,COD
83,708,13-06-2023,Delivered,UPI
84,68,20-02-2024,Delivered,COD
85,776,18-11-2024,Delivered,UPI
86,514,11-10-2023,Delivered,Card
87,637,28-12-2023,Delivered,Card
88,622,02-04-2024,Delivered,Card
89,598,26-11-2024,Delivered,Card
90,632,17-08-2024,Delivered,Card
91,127,22-04-2023,Delivered,UPI
92,255,30-09-2024,Delivered,Card
93,695,20-04-2023,Cancelled,UPI
94,16,24-08-2023,Delivered,Card
95,477,01-06-2023,Delivered,UPI
96,62,18-11-2024,Delivered,UPI
97,432,25-07-2023,Cancelled,UPI
98,670,09-01-2023,Delivered,COD
99,268,18-11-2024,Delivered,UPI
100,35,16-05-2024,Delivered,UPI
101,779,09-04-2023,Delivered,Card
102,576,19-01-2024,Delivered,UPI
103,494,27-01-2024,Delivered,UPI
104,562,09-05-2023,Delivered,COD
105,469,09-04-2023,Delivered,Card
106,767,23-05-2024,Delivered,COD
107,661,29-12-2024,Delivered,COD
108,325,29-04-2024,Delivered,COD
109,304,05-10-2024,Delivered,UPI
110,276,08-02-2024,Delivered,COD
111,684,15-11-2023,Delivered,COD
112,201,17-06-2023,Delivered,Card
113,445,15-02-2023,Delivered,Card
114,324,31-08-2023,Delivered,Card
115,35,23-02-2024,Delivered,Card
116,482,13-07-2024,Delivered,COD
117,728,07-07-2024,Delivered,Card
118,480,21-02-2023,Delivered,UPI
119,65,01-06-2023,Cancelled,COD
120,8,21-11-2024,Delivered,Card
121,301,13-04-2024,Delivered,COD
122,343,04-01-2023,Delivered,Card
123,431,01-09-2024,Delivered,COD
124,424,13-05-2024,Delivered,Card
125,332,19-10-2024,Delivered,UPI
126,438,23-05-2024,Delivered,Card
127,588,24-07-2023,Delivered,COD
128,174,31-12-2024,Delivered,COD
129,559,11-04-2024,Delivered,UPI
130,527,02-11-2024,Delivered,COD
131,659,16-01-2023,Delivered,UPI
132,26,04-04-2023,Delivered,COD
133,605,12-02-2023,Delivered,COD
134,406,25-01-2024,Delivered,UPI
135,232,28-11-2024,Delivered,COD
136,533,12-01-2023,Delivered,COD
137,550,15-06-2023,Delivered,UPI
138,788,28-01-2023,Delivered,Card
139,505,11-05-2024,Delivered,UPI
140,669,24-08-2024,Delivered,COD
141,179,08-06-2024,Delivered,Card
142,132,06-11-2023,Delivered,Card
